                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84659,                0.52562,                0.93049,                0.97094,                0.94835,                0.98353,                0.76645,                0.82705,                0.48143,                0.95787,               0.075289,             0.00024961,             0.00024961
                      2,                0.84194,                0.49725,                0.93999,                0.95673,                0.93428,                0.97717,                0.76466,                0.76887,                0.50069,                0.91772,               0.050538,             0.00049949,             0.00049949
                      3,                0.77958,                0.44484,                0.92045,                0.95672,                0.96571,                0.98333,                0.77145,                 0.7762,                0.43565,                0.91309,               0.025788,             0.00074887,             0.00074887
                      4,                 0.7891,                0.44014,                0.92823,                0.96631,                0.96388,                0.98188,                0.78701,                0.71567,                0.42465,                0.91271,              0.0010364,             0.00099739,             0.00099739
                      5,                0.77326,                0.42718,                  0.925,                0.96578,                0.96965,                0.98801,                0.81117,                0.68898,                0.37386,                0.90099,             0.00099606,             0.00099606,             0.00099606
                      6,                0.75462,                0.40911,                0.91749,                0.97317,                0.96378,                0.98458,                0.81758,                 0.6827,                0.38176,                0.89418,             0.00099606,             0.00099606,             0.00099606
                      7,                0.74709,                0.40026,                0.91346,                 0.9738,                0.97149,                0.98419,                0.79568,                0.67372,                0.36487,                0.89318,             0.00099384,             0.00099384,             0.00099384
                      8,                0.73047,                 0.3914,                0.91112,                0.96907,                0.97093,                0.98649,                0.81797,                0.65838,                0.36018,                0.88839,             0.00099114,             0.00099114,             0.00099114
                      9,                0.72961,                0.38763,                0.91495,                0.96626,                0.97274,                0.98524,                0.80894,                 0.6649,                 0.3688,                0.89146,             0.00098796,             0.00098796,             0.00098796
                     10,                0.72488,                0.38283,                0.91408,                0.97217,                0.97087,                0.98505,                 0.8108,                0.67802,                0.33899,                0.89232,             0.00098429,             0.00098429,             0.00098429
                     11,                0.72174,                0.37853,                0.90986,                0.97286,                0.97535,                0.98592,                0.81727,                0.66526,                0.33046,                0.89094,             0.00098015,             0.00098015,             0.00098015
                     12,                0.70966,                0.37381,                0.90565,                0.97327,                0.97535,                0.98626,                0.82707,                0.65469,                0.32002,                0.89331,             0.00097553,             0.00097553,             0.00097553
                     13,                0.70965,                0.36842,                0.90627,                0.97314,                 0.9739,                0.98881,                 0.8249,                 0.6447,                0.31717,                0.88108,             0.00097044,             0.00097044,             0.00097044
                     14,                0.70225,                 0.3636,                0.90393,                0.96758,                0.98069,                 0.9863,                0.82986,                0.64167,                0.31552,                0.88372,             0.00096489,             0.00096489,             0.00096489
                     15,                0.70989,                0.36775,                0.90684,                 0.9771,                0.97171,                0.98747,                0.83293,                0.64705,                0.30802,                0.88817,             0.00095888,             0.00095888,             0.00095888
                     16,                 0.7076,                 0.3597,                0.90769,                0.97308,                 0.9761,                0.98645,                0.82534,                0.64733,                0.30248,                0.89278,             0.00095241,             0.00095241,             0.00095241
                     17,                0.70594,                0.36351,                0.90841,                0.97469,                 0.9705,                0.98663,                0.82324,                0.64952,                0.31442,                0.88905,              0.0009455,              0.0009455,              0.0009455
                     18,                0.69824,                 0.3568,                 0.9048,                0.97415,                0.97722,                0.98626,                0.83128,                0.63248,                0.29947,                0.88192,             0.00093815,             0.00093815,             0.00093815
                     19,                0.69831,                 0.3574,                0.90784,                0.97282,                0.97461,                0.98624,                0.82462,                0.63545,                0.30291,                 0.8857,             0.00093037,             0.00093037,             0.00093037
                     20,                0.69774,                0.35195,                0.90277,                0.96887,                0.97722,                0.98596,                0.83188,                0.63287,                0.29461,                0.88432,             0.00092216,             0.00092216,             0.00092216
                     21,                0.68736,                0.34622,                0.90395,                 0.9803,                0.96631,                0.98652,                0.83114,                0.62964,                0.28852,                0.88415,             0.00091354,             0.00091354,             0.00091354
                     22,                0.68811,                0.34585,                0.90344,                0.97281,                 0.9752,                0.98627,                0.83381,                0.62417,                0.28585,                0.88232,             0.00090451,             0.00090451,             0.00090451
                     23,                0.68112,                0.33975,                0.89658,                 0.9713,                0.97872,                0.98762,                0.83483,                0.62568,                0.28278,                 0.8811,             0.00089508,             0.00089508,             0.00089508
                     24,                0.68795,                0.34411,                0.90405,                0.97585,                0.96554,                0.98546,                0.83662,                0.62738,                0.28627,                0.88234,             0.00088526,             0.00088526,             0.00088526
                     25,                0.68514,                0.34516,                0.90483,                 0.9702,                0.97797,                0.98592,                0.83318,                 0.6245,                0.27862,                0.88274,             0.00087506,             0.00087506,             0.00087506
                     26,                0.68593,                0.33651,                0.90231,                0.98026,                 0.9649,                0.98706,                0.83589,                0.61967,                0.28415,                0.88327,             0.00086448,             0.00086448,             0.00086448
                     27,                0.67866,                0.33737,                0.90116,                0.97964,                0.96826,                 0.9869,                0.83559,                0.61671,                0.27723,                0.87667,             0.00085355,             0.00085355,             0.00085355
                     28,                0.68351,                0.34005,                0.89711,                0.97665,                0.96846,                0.98815,                0.83302,                0.62142,                0.28306,                0.87818,             0.00084227,             0.00084227,             0.00084227
